Author,Title,Description,URL,Source,Image,Category,Language,Country,Published_at
"Andrew Ross Sorkin, Ravi Mattu, Bernhard Warner, Sarah Kessler, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",The Bitcoin E.T.F. Gets Approved — What to Expect Now.,"A new kind of exchange-traded fund linked to the cryptocurrency could begin trading as soon as Thursday, and the investment world is buzzing.",https://www.nytimes.com/2024/01/11/business/dealbook/bitcoin-etf-wall-street-crypto-investing.html,The New York Times,https://static01.nyt.com/images/2024/01/11/multimedia/11db-newsletter-nysebtc-cphw/11db-newsletter-nysebtc-cphw-mediumSquareAt3X.jpg,business,en,us,2024-01-11T12:57:24+00:00
,"Cryptos, bitcoin stocks, including MacroStrategy, jump after ETFs approved","Cryptos, bitcoin stocks, including MacroStrategy, jump after ETFs approved",https://seekingalpha.com/news/4054276-cryptos-bitcoin-stocks-including-macrostrategy-jump-after-etfs-approved?utm_source=feed_news_all&utm_medium=referral&feed_item_type=news,Seeking Alpha,,business,en,us,2024-01-11T12:34:29+00:00
Joel Leon,Crypto Stocks Get Fresh Boost From Landmark Bitcoin-ETF Approval,Crypto Stocks Get Fresh Boost From Landmark Bitcoin-ETF Approval,https://www.ndtvprofit.com/crypto/bitcoin-etf-approval-fuels-us-crypto-stocks,Bloomberg | Latest And Live Business,,business,en,us,2024-01-11T12:07:41+00:00
,SEC approves first spot bitcoin ETFs in boost to crypto advocates,Funds could start trading as soon as Thursday after months of anticipation and pushback,https://www.ft.com/content/443b2589-0a4a-48ef-872e-3cd52b1b297d,Financial Times,,business,en,us,2024-01-11T11:26:47+00:00
Reuters,Spot bitcoin ETFs to start trading in big boost to crypto industry,Spot bitcoin ETFs to start trading in big boost to crypto industry,https://www.investing.com/news/stock-market-news/spot-bitcoin-etfs-to-start-trading-in-big-boost-to-crypto-industry-3272145,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEK0A0E7_L.jpg,business,en,us,2024-01-11T10:55:43+00:00
,Scorching hot-takes from the tradfi banks on spot bitcoin ETFs,Because there’s no such thing as a free launch,https://www.ft.com/content/d8d2e2df-59d9-4bd1-a4f6-3a6b10a707ab,Financial Times,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F8de44264-3424-451d-b9ee-72f9ed5d0b68.png?source=next-home-page&dpr=2&width=580&fit=scale-down,business,en,us,2024-01-11T10:27:02+00:00
Investing.com,Bitcoin and Ethereum lead crypto market gains as overall cap hits $1.77 trillion,Bitcoin and Ethereum lead crypto market gains as overall cap hits $1.77 trillion,https://www.investing.com/news/cryptocurrency-news/bitcoin-and-ethereum-lead-crypto-market-gains-as-overall-cap-hits-177-trillion-93CH-3272095,Investing.com | Stock Market Quotes &amp; Financial News,,business,en,us,2024-01-11T10:17:50+00:00
Reuters,Bitcoin holds firm after regulators approve ETFs,Bitcoin holds firm after regulators approve ETFs,https://www.investing.com/news/stock-market-news/bitcoin-holds-firm-after-regulators-approve-etfs-3271950,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEK0A05V_L.jpg,business,en,us,2024-01-11T07:36:13+00:00
Reuters,"Dollar slips ahead of US inflation data, bitcoin climbs","Dollar slips ahead of US inflation data, bitcoin climbs",https://www.investing.com/news/economy/yen-lags-while-dollar-waits-on-us-cpi-3271918,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEK0A02V_L.jpg,business,en,us,2024-01-11T06:16:10+00:00
Reuters,Marketmind: To the moon? Bitcoin ETFs lift off,Marketmind: To the moon? Bitcoin ETFs lift off,https://www.investing.com/news/economy/marketmind-to-the-moon-bitcoin-etfs-lift-off-3271964,Investing.com | Stock Market Quotes &amp; Financial News,https://i-invdn-com.investing.com/trkd-images/LYNXMPEK0A071_L.jpg,business,en,us,2024-01-11T05:35:47+00:00
